Field of Degree,"Computers, mathematics, and statistics",Engineering,Physical sciences,"Biological, environmental, and agricultural sciences",Psychology,Social sciences,Multidisciplinary studies,Science- and engineering-related,Business,Education,Literature and languages,Liberal arts and history,Visual and performing arts,Communications,"Other (e.g., criminal justice, social work)"
..Computer workers,"209,505","226,730","26,870","14,485","2,235","14,520","2,990","31,135","57,570","3,300","5,295","4,325","6,450","5,095","3,170"
..Engineers,"15,690","186,300","13,105","2,895",745,"2,665",480,"8,325","6,340","1,380",835,675,"1,565",585,"1,220"
..Mathematicians and statisticians,"7,635","3,380","1,085","1,845",330,"1,420",80,"1,005","3,510",275,265,370,160,140,640
..Life scientists,"2,475","7,395","10,275","28,935",720,"1,740",285,"6,810",910,360,675,350,185,385,310
..Physical scientists,"1,715","12,690","22,400","20,350",310,"1,075",720,"4,445","1,820",240,620,750,515,170,560
..Social scientists,700,600,325,870,"3,695","2,285",140,260,870,260,720,370,220,90,640
..Architects,"1,480","2,970",155,290,100,385,0,"9,195",415,0,0,85,535,315,50
..Health care,"5,845","17,140","33,080","119,770","19,915","11,390","5,500","270,130","19,680","7,040","8,560","7,715","4,965","3,275","10,955"
..Managers (non-STEM)2,"34,130","89,005","18,515","24,920","10,625","43,375","1,785","28,300","121,110","8,915","13,405","9,920","11,945","11,675","8,965"
..Business and financial,"26,280","40,455","11,320","13,920","8,475","34,215","2,215","10,920","197,570","3,705","10,340","6,525","5,330","8,655","6,145"
..Social services,"1,735","1,995",765,"1,775","8,160","5,455",815,"3,040","5,740","3,185","2,365","9,580","1,035","1,665","7,020"
..Legal,"1,770","4,495","1,630","4,090","3,455","16,675",730,"1,535","9,025",705,"4,630","4,555","1,255","2,190","3,770"
..Education,"20,700","33,555","25,100","28,130","11,780","19,080","1,670","12,220","23,985","46,590","20,005","12,165","13,810","5,195","9,300"
..Arts and entertainment,"3,415","9,290","1,600","2,750","1,670","7,060",720,"5,475","7,060","1,705","6,175","3,305","30,415","8,910","1,015"
..Service,"8,565","13,960","6,315","14,840","6,955","17,580","1,750","26,410","54,455","16,775","7,475","9,375","9,690","4,930","12,865"
..Sales,"16,160","33,710","10,245","12,130","6,825","28,885","1,290","11,955","103,945","7,990","10,200","11,695","13,010","7,900","7,455"
..Office support,"18,110","16,460","10,710","12,625","12,305","26,430","2,525","15,950","100,350","12,975","13,195","12,305","10,350","8,930","10,465"
