Field of Degree,"Computers, mathematics, and statistics",Engineering,Physical sciences,"Biological, environmental, and agricultural sciences",Psychology,Social sciences,Multidisciplinary studies,Science- and engineering-related,Business,Education,Literature and languages,Liberal arts and history,Visual and performing arts,Communications,"Other (e.g., criminal justice, social work)"
..Computer workers,"662,310","417,045","73,795","48,105","27,780","84,455","8,955","71,790","302,305","20,515","29,620","48,255","41,475","41,995","24,700"
..Engineers,"54,910","966,585","59,500","30,770","5,485","22,985","1,215","68,415","68,105","9,980","4,025","11,835","10,465","8,775","18,800"
..Mathematicians and statisticians,"22,485","8,230","2,625","3,880","2,595","9,520",455,"1,820","15,505","1,725",880,"3,985",930,"1,510","2,325"
..Life scientists,"5,845","13,445","23,890","90,985","4,325","5,235",315,"7,870","5,430","1,030","1,510","1,595","1,190",595,"2,910"
..Physical scientists,"7,000","28,460","89,475","57,450","2,960","5,780",415,"6,435","7,800","2,360","1,575","3,275","1,340","1,030","2,225"
..Social scientists,"2,125","2,490","1,650","4,285","31,280","19,585",595,"3,095","4,990","2,620","2,370","6,340","1,335","1,745","3,590"
..Architects,"3,780","6,830","1,090","3,205",700,"3,420",130,"72,965","2,050",350,770,"2,680","3,870",930,795
..Health care,"20,270","44,360","128,495","447,640","56,895","34,720","7,295","353,570","61,375","23,525","21,050","33,040","12,885","10,115","36,500"
..Managers (non-STEM)2,"154,220","532,375","125,205","237,200","101,385","357,115","13,695","165,530","1,295,755","168,280","90,485","172,890","87,125","140,055","169,115"
..Business and financial,"76,460","137,290","41,875","77,905","45,200","220,435","7,220","40,485","1,030,030","39,310","35,570","77,135","30,550","61,860","55,230"
..Social services,"8,175","13,070","7,520","12,735","70,965","55,550","4,510","12,860","51,815","40,360","17,020","134,560","12,270","17,405","61,820"
..Legal,"9,870","31,130","11,975","22,655","26,740","216,595","4,180","6,745","112,855","9,010","46,480","99,590","8,145","21,195","32,460"
..Education,"89,595","88,525","83,070","122,800","54,015","119,875","7,400","69,255","130,965","481,575","106,330","150,540","92,805","45,620","61,115"
..Arts and entertainment,"18,890","43,000","12,320","14,335","13,620","48,730","4,040","29,145","60,720","26,355","48,425","44,040","186,870","128,370","18,270"
..Service,"34,390","58,960","30,840","90,855","47,730","122,825","8,430","57,130","247,555","68,060","32,840","80,885","50,775","46,275","261,245"
..Sales,"73,110","158,405","52,560","113,065","61,005","230,265","7,310","69,475","991,655","78,525","52,460","121,220","61,670","125,840","82,415"
..Office support,"55,225","70,590","28,415","44,305","35,215","103,285","4,805","36,245","359,130","42,330","37,105","70,365","42,675","57,150","65,035"
..Agriculture,640,"2,725","1,230","14,600",665,"1,875",150,"1,550","5,385","1,715",500,"1,580",670,710,"1,225"
..Construction,"40,175","119,335","21,020","41,345","14,550","40,005","1,345","46,045","152,470","36,175","12,860","33,640","27,270","21,475","58,085"
